oecd,country,pind,pindo,ctrycd,col_uk,t_indep,col_uka,col_espa,col_otha,legor_uk,legor_so,legor_fr,legor_ge,legor_sc,prot80,catho80,confu,avelf,govef,graft,logyl,loga,yrsopen,gadp,engfrac,eurfrac,frankrom,latitude,gastil,cgexp,cgrev,ssw,rgdph,trade,prop1564,prop65,federal,eduger,spropn,yearele,yearreg,seats,maj,pres,lyp,semi,majpar,majpres,propres,dem_age,lat01,age,polityIV,spl,cpi9500,du_60ctry,magn,sdm,oecd.x,mining_gdp,gini_8090,con2150,con5180,con81,list,maj_bad,maj_gin,maj_old,pres_bad,pres_gin,pres_old,propar,lpop,continent
0,Malta,0,1,181,1,35,0.8600000143051147,0,0,0,0,1,0,0,0.5,97.30000305175781,0,0.10333333164453506,3.7424893379211426,4.0052337646484375,9.70619010925293,8.52925968170166,0.5350000262260437,0.621999979019165,0,0,4.585999965667725,35.887001037597656,1,40.982120513916016,34.95760726928711,13.841766357421875,8195.7587890625,190.4716796875,66.629730224609375,10.961751937866211,0,95.55714416503906,0,1964,1964,65.888885498046875,0,0,9.011371612548828,0,0,0,0,1964,0.39874446392059326,0.18000000715255737,NA,-5.016839981079102,NA,1,0.19742351770401,0.18840579688549042,0,3.0482017993927,NA,0,1,0,65.888885498046875,0,NA,0,0,NA,0,1,12.81274848514133,other
0,Mauritius,1,1,684,1,31,0.8759999871253967,0,0,0,0,1,0,0,0.8999999761581421,31.200000762939453,0,0.7084848284721375,4.655652046203613,4.327273845672607,9.134349822998047,8.576009750366211,1,0.7039999961853027,0.003000000026077032,0.5669999718666077,3.437999963760376,-20.23200035095215,1.6111111640930176,22.501792907714844,21.645051956176758,3.7996175289154053,6666.76513671875,128.116455078125,65.95276641845703,6.261110305786133,0,80.17142486572266,1,1968,1968,63.77777862548828,1,0,8.804889678955078,0,1,0,0,1968,0.2248000055551529,0.1599999964237213,10,-1.0672919750213623,5.133333206176758,1,0.3295861482620239,NA,0,0.13133633136749268,41.349998474121094,0,1,0,0,1.6111111640930176,41.349998474121094,0.1599999964237213,0,0,0,0,13.918169869316948,africa
1,Mexico,0.6000000238418579,0.6000000238418579,273,0,189,0,0.24400000274181366,0,0,0,1,0,0,1.2000000476837158,94.69999694824219,0,0.17407406866550446,4.642268657684326,5.5542521476745605,9.637539863586426,8.749950408935547,0.20000000298023224,0.5920000076293945,0,0.8799999952316284,1.5089999437332153,16.759000778198242,3.777777671813965,15.485774993896484,15.167201042175293,3.0020813941955566,6207.810546875,47.549991607666016,59.50017547607422,4.272913932800293,1,85.871429443359375,0.20000000298023224,1994,1994,500,0,1,8.733563423156738,1,0,0,1,1994,0.18621112406253815,0.029999999329447746,2.6666669845581055,0.40224361419677734,6.809999942779541,1,0.6019999980926514,0.023923400789499283,0,1.490399718284607,50.5,0,0,1,199.99998474121094,0,0,0,3.777777671813965,50.5,0.029999999329447746,0,18.309279759724934,laam
0,Namibia,0,0,728,0,9,0,0,0.9639999866485596,1,0,0,0,0,64.19999694824219,19.100000381469727,0,0.7282999753952026,4.911177635192871,4.23618221282959,8.836130142211914,7.700630187988281,0.2750000059604645,0.4620000123977661,0.06700000166893005,0.08799999952316284,3.059000015258789,-17.979000091552734,2.444444417953491,37.27320098876953,33.234474182128906,NA,2764.1201171875,114.62491607666016,53.96958923339844,3.6997058391571045,0,105.0250015258789,0,1990,1990,78,0,1,7.924477577209473,0,0,0,1,1990,0.19976666569709778,0.05000000074505806,8,-3.3889119625091553,4.6666669845581055,0,0.1695156693458557,0.30263158679008484,0,12.774621963500977,NA,0,0,1,78,0,NA,0,2.444444417953491,NA,0.05000000074505806,0,NA,africa
0,Nepal,1,1,558,0,250,0,0,0,1,0,0,0,0,0,0,0,0.44999998807907104,NA,NA,NA,NA,4.089000225067139,NA,0,0,2.5850000381469727,27.711999893188477,3.3333332538604736,16.970537185668945,9.739206314086914,0.30116206407546997,1147.1673583984375,49.822513580322266,53.77915573120117,3.6266283988952637,0,76.69999694824219,0,1990,1990,197.44444274902344,1,0,7.045051097869873,0,1,0,0,1990,0.30791109800338745,0.05000000074505806,5,-5.337308883666992,NA,1,1,0.20547939836978912,0,0.5063775777816772,30,0,0,1,0,3.3333332538604736,30,0.05000000074505806,0,0,0,0,16.84741104973687,asiae
1,Netherlands,0,0,138,0,250,0,0,0,0,0,1,0,0,42.400001525878906,42.599998474121094,0,0.0634353756904602,0.9395174980163574,0.9471855163574219,10.259400367736816,8.771300315856934,0.800000011920929,0.9879999756813049,0,0,3.5789999961853027,51.874000549316406,1,51.17832565307617,47.601295471191406,19.116849899291992,13820.4296875,100.33990478515625,68.47264099121094,13.202521324157715,0,117.11428833007812,0,1917,1917,150,0,0,9.533903121948242,0,0,0,0,1917,0.576377809047699,0.41499999165534973,10,-2.62343692779541,1.1116670370101929,1,0.12000000476837158,0.13714289665222168,1,2.7345967292785645,29,0,0,0,150,0,0,0,0,0,0,1,16.546451992458767,other
1,New Zeland,0.8472222089767456,0.8472222089767456,196,1,92,0.6320000290870667,0,0,1,0,0,0,0,37.900001525878906,18.700000762939453,0,0.1475699245929718,1.8574256896972656,0.8501157760620117,10.14264965057373,8.366720199584961,0.20000000298023224,0.9860000014305115,0.8999999761581421,0.8999999761581421,2.1029999256134033,-36.891998291015625,1,35.980445861816406,36.4119873046875,13.468954086303711,12088.626953125,58.07034683227539,64.9557876586914,12.122383117675781,0,101.44999694824219,0,1906,1906,105.33333587646484,1,0,9.400020599365234,0,0.6666666865348816,0,0,1906,0.4099110960960388,0.4699999988079071,10,1.635295033454895,0.598333477973938,1,0.8500000238418579,0.13832849264144897,1,1.3506977558135986,38,0,0,0,16.092594146728516,1,38,0.4699999988079071,0,0,0,0,15.08576160007053,other
0,Nicaragua,0,0,278,0,178,0,0.2879999876022339,0,0,0,1,0,0,4.400000095367432,94.69999694824219,0,0.09917956590652466,6.094335079193115,6.672211647033691,8.401280403137207,7.556300163269043,0.3330000042915344,0.5230000019073486,0.008999999612569809,0.6549999713897705,3.1549999713897705,12.211000442504883,3.444444417953491,31.007644653320312,23.497791290283203,5.0652995109558105,1322.4854736328125,87.20343780517578,51.9570198059082,3.0194666385650635,0,78.48750305175781,0.05376344174146652,1990,1990,90,0,1,7.187268257141113,0,0,0,1,1990,0.1356777846813202,0.05000000074505806,6.888888835906982,-0.8717377185821533,6.949999809265137,1,0.13333332538604736,0.11356469988822937,0,0.6999679207801819,50,0,0,1,90,0,0,0,3.444444417953491,50,0.05000000074505806,0,15.27326128217909,laam
1,Norway,0,0,142,0,94,0,0,0.6240000128746033,0,0,0,0,1,97.80000305175781,0.30000001192092896,0,0.06988371908664703,1.6675646305084229,1.626908540725708,10.200039863586426,8.468290328979492,0.777999997138977,0.9679999947547913,0,0,3.1589999198913574,59.97700119018555,1,39.88119888305664,41.10329055786133,14.822278022766113,16720.478515625,72.231536865234375,64.72183990478516,16.072961807250977,0,106.77143096923828,0,1919,1898,165,0,0,9.72438907623291,0,0,0,0,1898,0.6664111018180847,0.5099999904632568,10,-1.6624900102615356,1.100000023841858,1,0.11515152454376221,0.11515150219202042,1,12.941062927246094,33,0,0,0,165,0,0,0,0,0,0,1,15.282089445326063,other
0,Pakistan,1,1,564,1,52,0.7919999957084656,0,0,1,0,0,0,0,0.800000011920929,0.5,0,0.6215999722480774,6.488888740539551,6.537585735321045,8.423239707946777,8.257109642028809,0,0.453000009059906,0,0,2.0840001106262207,31.17300033569336,4.277777671813965,23.11273956298828,17.22882080078125,NA,1451.7408447265625,38.71351623535156,53.929996490478516,3.0406689643859863,0,42.150001525878906,NA,1988,1988,217,1,1,7.280518531799316,0,0,1,0,1988,0.34636667370796204,0.05999999865889549,7.777778148651123,-7.2675371170043945,7.863999843597412,0,1,0.10000000149011612,0,0.5349230170249939,31.735000610351562,0,0,1,0,4.277777671813965,31.735000610351562,0.05999999865889549,4.277777671813965,31.735000610351562,0.05999999865889549,0,NA,asiae
0,Papua N. Guin,1,1,853,1,24,0.9039999842643738,0,0.9039999842643738,1,0,0,0,0,58.400001525878906,32.79999923706055,0,0.8027272820472717,6.388547897338867,6.707344055175781,7.920899868011475,7.301790237426758,0,0.625,0.014999999664723873,0.014999999664723873,2.319000005722046,-6.599999904632568,2.777777671813965,30.811126708984375,23.75833511352539,0.300518661737442,1688.2398681640625,102.12989044189453,57.516971588134766,2.7929859161376953,0,46.599998474121094,0,1975,1975,107.77777862548828,1,0,7.431441783905029,0,1,0,0,1975,0.07333333045244217,0.125,10,-4.127748966217041,NA,1,1,1,0,16.742664337158203,NA,0,1,0,0,2.777777671813965,NA,0.125,0,NA,0,0,15.251314481099447,asiae
0,Paraguay,0,0,288,0,188,0,0.24799999594688416,0,0,0,1,0,0,1.899999976158142,96,0,0.41111111640930176,7.200309753417969,6.916740894317627,8.702079772949219,7.857039928436279,0.13300000131130219,0.4860000014305115,0,0.035999998450279236,2.3450000286102295,-25.58300018310547,3.3333332538604736,11.97500228881836,13.149066925048828,1.7797520160675049,2202.63623046875,86.43324279785156,54.81356430053711,3.8303942680358887,0,76.8499984741211,0.6875,1992,1992,77.33333587646484,0,1,7.6974101066589355,0,0,0,1,1989,0.28425556421279907,0.054999999701976776,5.777778148651123,1.1830040216445923,8.25,1,0.23333334922790527,0.02806759998202324,0,0.35807573795318604,42.5,0,0,1,77.33333587646484,0,0,0,3.3333332538604736,42.5,0.054999999701976776,0,15.363526026407877,laam
0,Peru,0,0,293,0,178,0,0.2879999876022339,0,0,0,1,0,0,2.700000047683716,95.0999984741211,0,0.4315909147262573,4.65307092666626,5.399045467376709,9.034390449523926,7.933640003204346,0.48899999260902405,0.43799999356269836,0,0.5640000104904175,1.9500000476837158,-11.793999671936035,4.388888835906982,17.277606964111328,13.649524688720703,NA,2410.24609375,25.889820098876953,59.251190185546875,4.255048751831055,0,97.2874984741211,0.6000000238418579,1979,1979,153.3333282470703,0,1,7.787484169006348,0,0,0,1,1979,0.1310444474220276,0.10499999672174454,2.1111109256744385,-1.2455090284347534,5.533332824707031,1,0.006790101528167725,0.008333300240337849,0,1.8951120376586914,44,0,1,0,153.3333282470703,0,0,0,4.388888835906982,44,0.10499999672174454,0,16.95721901787652,laam
0,Philippines,0.9777777791023254,0.9777777791023254,566,0,53,0,0.7879999876022339,0.7879999876022339,0,0,1,0,0,3.799999952316284,84.0999984741211,0,0.723820686340332,4.747078895568848,5.456180572509766,8.405759811401367,7.325930118560791,0.15600000321865082,0.40700000524520874,0,0,2.178999900817871,13.92199993133545,2.944444417953491,18.890758514404297,18.181106567382812,0.43735620379447937,1759.439208984375,80.6320571899414,57.64063262939453,3.556657314300537,0,98.73750305175781,0.359375,1990,1987,202.88888549804688,1,1,7.472750186920166,0,0,0.8888888955116272,0.1111111044883728,1987,0.15468889474868774,0.06499999761581421,7.888888835906982,-0.7918075919151306,6.965000152587891,1,0.978205144405365,0.008771900087594986,0,1.043808937072754,45.5,0,0,1,4.508641719818115,2.944444417953491,45.5,0.06499999761581421,2.944444417953491,45.5,0.06499999761581421,0,18.044327841864693,asiae
0,Poland,0,1,964,0,81,0,0,0.6759999990463257,0,1,0,0,0,0.10000000149011612,81,0,0.039000000804662704,3.651956081390381,4.0161943435668945,9.040590286254883,7.376699924468994,0.11100000143051147,0.6940000057220459,0,0.03999999910593033,2.628000020980835,50.24399948120117,1.7777777910232544,39.48863220214844,40.331207275390625,19.75605010986328,4330.115234375,48.277442932128906,66.047332763671875,10.822612762451172,0,95.9000015258789,0.06576087325811386,1989,1989,460,0,0,8.3733491897583,0,0,0,0,1989,0.5582666397094727,0.054999999701976776,8.11111068725586,-1.666985034942627,5.289999961853027,0,0.11304348707199097,0.12368729710578918,0,3.355170965194702,25.55500030517578,0,0,1,460,0,0,0,0,0,0,1,NA,other
1,Portugal,0,0,182,0,250,0,0,0,0,0,1,0,0,1.100000023841858,94.0999984741211,0,0.0024999999441206455,2.697592258453369,2.564185857772827,9.469659805297852,8.5462799072265625,0.777999997138977,0.8109999895095825,0,1,2.933000087738037,38.816001892089844,1.0555555820465088,41.66163635253906,34.5367431640625,12.211305618286133,8104.7587890625,68.4535903930664,66.192596435546875,15.204662322998047,0,107.96666717529297,0,1976,1976,232.22222900390625,0,0,9.00020694732666,0,0,0,0,1976,0.4312888979911804,0.11999999731779099,10,-4.234857082366943,3.5566670894622803,1,0.0948019027709961,0.09462369978427887,1,0.425968199968338,36.5,0,1,0,232.22222900390625,0,0,0,0,0,0,1,16.108803855048286,other
